,1
2,7.85
5,7.79
6,7.65
7,7.45
8,7.39
9,7.57
12,7.66
13,7.66
14,7.7
15,7.71
16,7.78
20,7.75
21,7.81
22,7.78
23,7.65
26,7.57
27,7.7
28,7.74
29,7.74
30,7.702
33,7.67
34,7.71
35,7.78
36,7.8
37,7.73
40,7.72
41,7.72
42,7.69
43,7.654
44,7.64
48,7.69
49,7.62
50,7.64
51,7.66
54,7.7
55,7.62
56,7.65
57,7.73
58,7.72
61,7.74
62,7.76
63,7.75
64,7.6
65,7.49
68,7.52
69,7.54
70,7.51
71,7.5
72,7.52
75,7.58
76,7.53
77,7.53
78,7.53
79,7.5
82,7.63
83,7.63
84,7.64
85,7.63
86,7.55
89,7.6
90,7.59
91,7.5
92,7.56
96,7.46
97,7.58
98,7.62
99,7.43
100,7.45
103,7.52
104,7.42
105,7.43
106,7.41
107,7.39
110,7.42
111,7.57
112,7.5
113,7.472
114,7.46
117,7.35
118,7.49
119,7.49
120,7.28
121,7.29
124,7.27
125,7.33
126,7.37
127,7.44
128,7.46
131,7.52
132,7.48
133,7.5
134,7.44
135,7.6
138,7.55
139,7.51
140,7.55
141,7.54
142,7.665
146,7.468
147,7.46
148,7.57
149,7.95
152,7.9
153,7.875
154,7.95
155,7.99
156,7.97
159,7.94
160,7.91
161,7.88
162,7.85
163,7.84
166,7.965
167,8.14
168,8.32
169,8.33
170,8.58
173,8.32
174,8.34
175,8.35
176,8.29
177,8.24
180,8.15
181,8.15
182,8.14
183,8.11
187,8.02
188,7.84
189,7.805
190,7.79
191,7.92
194,7.91
195,8.05
196,8.04
197,8.042
198,8.05
201,8.01
202,7.99
203,7.94
204,7.84
205,7.83
208,7.83
209,7.65
210,7.72
211,7.88
212,7.88
215,7.88
216,8.0
217,7.91
218,7.99
219,7.84
222,7.69
223,7.66
224,7.79
225,7.79
226,7.63
229,7.7
230,7.4
231,7.49
232,7.54
233,7.2
236,6.97
237,7.2
238,7.24
239,7.495
240,7.49
243,7.64
244,7.54
245,7.27
246,7.66
247,7.5
251,7.48
252,7.46
253,7.36
254,7.42
257,7.475
258,7.35
259,7.36
260,7.16
261,7.37
264,7.42
265,7.31
266,7.26
267,7.27
268,7.291
271,7.29
272,7.21
273,7.3
274,7.38
275,7.26
278,7.22
279,7.19
280,7.07
281,7.23
282,7.2
285,7.16
286,7.21
287,7.21
288,7.23
289,7.24
292,7.19
293,7.19
294,7.19
295,7.19
296,7.15
299,7.1
300,7.08
301,7.08
302,6.9
303,6.96
306,6.96
307,6.96
308,6.92
309,6.91
310,7.0
313,6.85
314,7.0
315,7.09
316,7.17
317,7.46
320,7.57
321,7.58
322,7.61
323,7.73
324,7.77
327,7.84
328,7.73
329,7.74
331,7.85
334,7.81
335,7.74
336,7.8
337,7.75
338,7.78
341,7.78
342,7.63
343,7.62
344,7.73
345,7.51
348,7.47
349,7.41
350,7.49
351,7.42
352,7.85
355,7.45
356,7.45
357,7.46
358,7.45
362,7.63
363,7.41
364,7.56
365,7.65
